NGC 4473|\\textbf{Dreyer: }\\verb___REPLACE_PIPE___pB___REPLACE_PIPE___ \\\\ \\textbf{SAC: } \\verb___REPLACE_PIPE___H II 114;Markarian's chain ___REPLACE_PIPE___
NGC 4477|\\textbf{Dreyer: }\\verb___REPLACE_PIPE___pB;cL___REPLACE_PIPE___ \\\\ \\textbf{SAC: } \\verb___REPLACE_PIPE___H II 115;Markarian's chain;NGC 4479 @5.3' ___REPLACE_PIPE___
NGC 4527|\\textbf{Dreyer: }\\verb___REPLACE_PIPE___pB;L;pmE69;mbM;vseBN or *___REPLACE_PIPE___ \\\\ \\textbf{SAC: } \\verb___REPLACE_PIPE___H II 37;SN 1915a;NGC 4536 @ 29 ___REPLACE_PIPE___
NGC 4612|\\textbf{Dreyer: }\\verb___REPLACE_PIPE___pB;S;R;psmbM___REPLACE_PIPE___ \\\\ \\textbf{SAC: } \\verb___REPLACE_PIPE___H II 148 ___REPLACE_PIPE___
NGC 4656|\\textbf{Dreyer: }\\verb___REPLACE_PIPE___pB;L;vmE34;sp of 2___REPLACE_PIPE___ \\\\ \\textbf{SAC: } \\verb___REPLACE_PIPE___H I 176;NGC 4657 superimposed ___REPLACE_PIPE___
NGC 4689|\\textbf{Dreyer: }\\verb___REPLACE_PIPE___pB;vL;E;vglbM;r___REPLACE_PIPE___ \\\\ \\textbf{SAC: } \\verb___REPLACE_PIPE___H II 128 ___REPLACE_PIPE___
NGC 4696|\\textbf{Dreyer: }\\verb___REPLACE_PIPE___pB;L;R;gbM;r___REPLACE_PIPE___ 
NGC 4709|\\textbf{Dreyer: }\\verb___REPLACE_PIPE___pB;cS;R;gbM___REPLACE_PIPE___ 
NGC 4762|\\textbf{Dreyer: }\\verb___REPLACE_PIPE___pB;vmE31;3 B * s;f of 2___REPLACE_PIPE___ \\\\ \\textbf{SAC: } \\verb___REPLACE_PIPE___H II 75;NGC 4754 @ 10.5';thick streak w tufts at ends ___REPLACE_PIPE___
NGC 4936|\\textbf{Dreyer: }\\verb___REPLACE_PIPE___pB;S;R;bM;* f 6sec___REPLACE_PIPE___ 
NGC 5371|\\textbf{Dreyer: }\\verb___REPLACE_PIPE___pB;L;R;bMFN___REPLACE_PIPE___ \\\\ \\textbf{SAC: } \\verb___REPLACE_PIPE___vsB diff N;weak bar;sev knotty filam reg arms ___REPLACE_PIPE___
NGC 5419|\\textbf{Dreyer: }\\verb___REPLACE_PIPE___pB;pL;R;gpmbM___REPLACE_PIPE___ 
NGC 5474|\\textbf{Dreyer: }\\verb___REPLACE_PIPE___pB;L;bM;P w M101___REPLACE_PIPE___ \\\\ \\textbf{SAC: } \\verb___REPLACE_PIPE___H I 214;low surf. bright;smooth part res cent w vsFN;strongly asym ___REPLACE_PIPE___
NGC 5643|\\textbf{Dreyer: }\\verb___REPLACE_PIPE___pB;L;R;vglbM;st inv___REPLACE_PIPE___ 
NGC 5838|\\textbf{Dreyer: }\\verb___REPLACE_PIPE___pB;pS___REPLACE_PIPE___ \\\\ \\textbf{SAC: } \\verb___REPLACE_PIPE___H II 542;In NGC 5846 grp;P w NGC 5848 at 18' ___REPLACE_PIPE___
NGC 6221|\\textbf{Dreyer: }\\verb___REPLACE_PIPE___pB;cL;R;glbM;rr___REPLACE_PIPE___ 
NGC 6384|\\textbf{Dreyer: }\\verb___REPLACE_PIPE___pB;S;vlE___REPLACE_PIPE___ \\\\ \\textbf{SAC: } \\verb___REPLACE_PIPE___sBN in faint bar ___REPLACE_PIPE___
NGC 6951|\\textbf{Dreyer: }\\verb___REPLACE_PIPE___pB;pL;lE___REPLACE_PIPE___ 
NGC 7090|\\textbf{Dreyer: }\\verb___REPLACE_PIPE___pB;pL;vmE127;g;pslbM___REPLACE_PIPE___ 
NGC 7184|\\textbf{Dreyer: }\\verb___REPLACE_PIPE___pB;pL;mE64;bet 3*;er___REPLACE_PIPE___ \\\\ \\textbf{SAC: } \\verb___REPLACE_PIPE___H II 1;With Saturn-like inner ring ___REPLACE_PIPE___
NGC 7205|\\textbf{Dreyer: }\\verb___REPLACE_PIPE___pB;L;cE;gpslbM___REPLACE_PIPE___ 
IC 5267|\\textbf{Dreyer: }\\verb___REPLACE_PIPE___pB;S;R;mbM___REPLACE_PIPE___ \\\\ \\textbf{SAC: } \\verb___REPLACE_PIPE___Brightest in group ___REPLACE_PIPE___
NGC 7479|\\textbf{Dreyer: }\\verb___REPLACE_PIPE___pB;cL;mE12;bet 2 st___REPLACE_PIPE___ \\\\ \\textbf{SAC: } \\verb___REPLACE_PIPE___H I 55;excellent barred spiral ___REPLACE_PIPE___
NGC 7507|\\textbf{Dreyer: }\\verb___REPLACE_PIPE___pB;cS;R;psvmbM;*10 np___REPLACE_PIPE___ \\\\ \\textbf{SAC: } \\verb___REPLACE_PIPE___H II 2 ___REPLACE_PIPE___
NGC 7582|\\textbf{Dreyer: }\\verb___REPLACE_PIPE___pB;L;pmE;gbM___REPLACE_PIPE___ \\\\ \\textbf{SAC: } \\verb___REPLACE_PIPE___Group w NGC 7590 & 7599 ___REPLACE_PIPE___
